customer_id,customer_name,email,phone,age,generation,postcode,postcode_area,distance_from_harrods_km,segment,customer_type,nationality,expected_annual_visits,registration_date,estimated_income,loyalty_member,preferred_contact_method,marketing_opt_in,last_campaign_response,customer_notes,clv,days_since_purchase
CUST-000001,Elizabeth  Hughes,elizabeth.hughes@btinternet.com,+44 25 7912 1520,52,Gen X,SW7 2JF,SW7,1.5,At Risk,Local,UK,6,2025-08-26,104845.0,,Email,False,,,17264.260000000002,16.0
CUST-000002,Catherine R. Sims,catherine.sims@gmail.com,+44 25 7224 2584,63,Boomer,SW3 4MK,SW3,0.8,High Potential,Local,UK,8,2024-03-21,106511.0,Bronze,Email,True,Unsubscribed,,235052.54,17.0
CUST-000003,Mandy T. Griffin,mandy.griffin@yahoo.co.uk,+44 38 2307 4814,39,Millennial,SW3 2XL,SW3,0.8,At Risk,Local,UK,8,2024-09-30,103138.0,Standard,Post,False,,,129665.03,9.0
CUST-000004,Margaret K. Mellor,margaret.mellor@btinternet.com,+44 79 4598 6313,47,Gen X,SW3 4CF,SW3,0.8,Regular,Local,UK,8,2024-08-04,66300.0,Gold,Email,False,,Anniversary reminder set,92040.85,17.0
CUST-000005,George E. Wilkins,george.wilkins@hotmail.co.uk,+44 54 5304 8019,32,Millennial,SW7 5BB,SW7,1.5,Regular,Local,UK,6,2024-06-05,86713.0,Standard,Phone,True,Clicked,,20841.85,10.0
CUST-000006,James C. Miah,james.miah@gmail.com,+44 75 1188 2876,62,Boomer,SW1 8XP,SW1,1.2,Regular,Local,UK,7,2024-01-04,84613.0,Bronze,Post,False,,Anniversary reminder set,68228.53,2.0
CUST-000007,Simon  Begum,simon.begum@hotmail.co.uk,+44 32 3504 7126,38,Millennial,SW3 5OF,SW3,0.8,Regular,Local,UK,8,2024-09-02,96663.0,Gold,SMS,,Ignored,,77791.55,84.0
CUST-000008,Stephen  Murphy,stephen.murphy@gmail.com,+44 28 3103 8787,37,Millennial,W1 2KE,W1,2.5,High Potential,Local,UK,4,2025-11-18,70624.0,Silver,SMS,True,Unsubscribed,,97029.86000000002,3.0
CUST-000009,Janet I. Nixon,janet.nixon@gmail.com,+44 34 4608 1117,35,Millennial,SW5 2MM,SW5,3.2,Regular,Local,UK,3,2025-06-10,42134.0,,Phone,True,Clicked,,37967.23,22.0
CUST-000010,Victoria C. Davies,victoria.davies@yahoo.co.uk,+44 46 4119 2545,54,Gen X,SW3 8TL,SW3,0.8,At Risk,Local,UK,8,2024-03-03,76687.0,Standard,SMS,True,Clicked,,96591.13,1.0
CUST-000011,Jenna  Bibi,jenna.bibi@gmail.com,+44 37 8579 5092,29,Millennial,SW1 9NB,SW1,1.2,Regular,Local,UK,7,2024-06-19,90952.0,Gold,Email,True,Opened,,33333.14,220.0
CUST-000012,James  Shah,james.shah@btinternet.com,+44 49 5673 7930,44,Gen X,SW11 7TG,SW11,5.0,Regular,Local,UK,2,2024-11-17,58570.0,Standard,Post,True,Clicked,,31442.29,2.0
CUST-000013,Charles  Stokes,charles.stokes@yahoo.co.uk,+44 58 2113 4853,43,Gen X,SW3 9RY,SW3,0.8,Regular,Local,UK,8,2024-09-24,90483.0,Silver,Email,False,Ignored,,68634.81,1.0
CUST-000014,Donald H. Slater,donald.slater@yahoo.co.uk,+44 79 2188 1152,39,Millennial,SW7 5HT,SW7,1.5,Regular,Local,UK,6,2024-12-23,97856.0,Gold,,False,,Prefers morning appointments,69949.02,33.0
CUST-000015,Catherine G. Jones,catherine.jones@yahoo.co.uk,+44 39 2697 3200,48,Gen X,,SW1,1.2,Regular,Local,UK,7,2025-12-04,82223.0,Gold,Phone,True,Opened,,55858.909999999996,31.0
CUST-000016,Sam I. Taylor,sam.taylor@gmail.com,,36,Millennial,SW3 7LN,SW3,0.8,At Risk,Local,UK,8,2025-07-28,104175.0,Silver,Post,False,Unsubscribed,,35673.65,14.0
CUST-000017,George  Johnson,george379@yahoo.co.uk,+44 39 6974 1653,51,Gen X,SW3 9AB,SW3,0.8,VIP,Local,UK,24,2024-08-30,108316.0,Silver,Email,False,Opened,Prefers morning appointments,94417.63,117.0
CUST-000018,Lindsey N. Collier,lindsey.collier@hotmail.co.uk,+44 71 5065 5371,33,Millennial,W11 7VL,W11,4.2,Regular,Local,UK,3,2025-04-16,58647.0,Gold,Email,True,,,14311.34,284.0
CUST-000019,Mohammad  Anderson,mohammad198@gmail.com,+44 69 5573 6753,26,Gen Z,SW3 7UM,SW3,0.8,At Risk,Local,UK,8,2024-07-01,111494.0,Standard,Post,True,Ignored,,47987.55,7.0
CUST-000020,Elizabeth I. Baker,elizabeth.baker@gmail.com,+44 27 7311 4114,59,Boomer,SW3 6EM,SW3,0.8,Regular,Local,UK,8,2025-11-11,81526.0,Standard,,True,Clicked,Anniversary reminder set,116043.56999999999,4.0
CUST-000021,Jill R. Forster,jill.forster@yahoo.co.uk,+44 55 3085 4143,32,Millennial,W1 7SL,W1,2.5,At Risk,Local,UK,4,2024-11-07,73862.0,Standard,Phone,False,Clicked,,96514.98,0.0
CUST-000022,Henry G. Bishop,henry.bishop@gmail.com,+44 70 3780 2389,62,Boomer,NW3 8ZA,NW3,6.5,Regular,Local,UK,3,2024-07-22,77072.0,Bronze,,True,Opened,,90523.39,22.0
CUST-000023,Carole  Clark,carole.clark@outlook.com,+44 56 4185 7291,18,Gen Z,W8 2KD,W8,2.0,VIP,Local,UK,15,2024-06-29,90328.0,Silver,Email,True,Opened,,228234.63999999998,145.0
CUST-000024,William L. Joyce,william.joyce@btinternet.com,+44 62 9702 6198,46,Gen X,SW3 2QC,SW3,0.8,High Potential,Local,UK,8,2025-04-05,90514.0,Standard,SMS,False,Unsubscribed,,49736.25,1.0
CUST-000025,Ashleigh R. Harris,ashleigh.harris@hotmail.co.uk,,42,Millennial,SW1 4SY,SW1,1.2,Regular,Local,UK,7,2025-12-24,93356.0,Bronze,Email,True,Opened,,33201.3,14.0
CUST-000026,Emma Y. Anderson,emma.anderson@yahoo.co.uk,+44 69 1320 7232,35,Millennial,SW7 4JA,SW7,1.5,Regular,Local,UK,6,2025-05-14,74473.0,Bronze,SMS,False,Opened,,34529.770000000004,66.0
CUST-000027,Elizabeth Y. Walker,elizabeth.walker@yahoo.co.uk,+44 78 3091 9751,46,Gen X,N1 7KQ,N1,6.8,Regular,Local,UK,2,2025-04-17,58931.0,,Email,False,,,48765.83,421.0
CUST-000028,Suzanne J. Green,suzanne.green@yahoo.co.uk,+44 46 5133 2341,37,Millennial,SW6 7VI,SW6,4.8,Regular,Local,UK,2,2024-02-01,66529.0,Gold,Post,True,Clicked,Prefers morning appointments,33107.270000000004,172.0
CUST-000029,Bryan D. Turner,bryan.turner@gmail.com,+44 64 5198 7043,27,Millennial,SW10 2PB,SW10,3.8,At Risk,Local,UK,2,2025-08-12,43085.0,Gold,Phone,True,Ignored,,86038.89,128.0
CUST-000030,James  Kaur,james.kaur@btinternet.com,+44 74 2983 1672,48,Gen X,SW1 4FQ,SW1,1.2,Regular,Local,UK,7,2025-03-06,91915.0,Standard,Email,False,,,42540.31,36.0
CUST-000031,Lynda  Herbert,lynda.herbert@outlook.com,+44 66 9548 5425,18,Gen Z,SW3 8FJ,SW3,0.8,VIP,Local,UK,24,2024-10-12,100182.0,Standard,Post,True,Clicked,Prefers morning appointments,249036.27,28.0
